brand,info_dict,key_benefit,new_price,num_reviews,old_price,product,rating,recommand
Fancy Feast,"{'Item Number': '75964', 'Weight': '5.3\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Chunks in Gravy', 'Brand': 'Purina', 'Food Form': 'Wet Food', 'Lifestage': 'Adult'}","The tasty recipe features real, savory chicken for the high-protein nutrition your little carnivore craves.,Rich, thick gravy adds flavor and moisture to your kitty's diet.,Small, delicate bites offer a tempting texture for extra excitement.,Enhanced with vitamins and minerals for overall well-being, and essential taurine for heart and vision health.,Provides a 100% complete and balanced meal for all cats, on its own or as a delicious kibble topper.",15.6,343,0,"Fancy Feast Gravy Lovers Chicken Feast in Grilled Chicken Flavor Gravy Canned Cat Food, 3-oz, case of 24",4.6,95
Natural Balance,"{'Item Number': '50937', 'Packaging Type': 'Pouch', 'Food Texture': 'Chunks in Gravy', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, No Corn No Wheat No Soy'}","Gourmet, grain-free wet food features high-protein chicken and salmon as the top ingredients.,Loaded with wholesome veggies like peas and carrots, and provides a 100% complete and balanced diet for adult cats.,Packed with limited carbohydrate sources for highly-digestible energy, and balanced omega-3 and 6 fatty acids for a healthy skin and coat.,Fortified with vitamins, minerals and essential taurine to help maintain healthy eyes and heart, plus broth for added hydration.,Packed with pride in the USA and made with zero grains, corn, soy, wheat, artificial flavors, colors or bleached ingredients.",25.26,38,30.0,"Natural Balance Platefulls Chicken & Salmon Formula in Gravy Grain-Free Cat Food Pouches, 3-oz pouch, case of 24",4.4,83
Merrick,"{'Item Number': '64272', 'Packaging Type': 'Can', 'Food Texture': 'Chunks in Gravy', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, No Corn No Wheat No Soy, High-Protein'}","Grain-free recipe features protein-rich chicken and tuna for the nutrients to support healthy muscles and energy.,Formulated to provide a complete and balanced diet for cats and kittens, with targeted blend of vitamins, minerals and taurine.,Packed with antioxidants for immune health and omega-3 fatty acids to support a healthy and lustrous skin and fur.,Made with a delectable gravy that’s great for picky eaters, and provides essential moisture to keep your pal hydrated and healthy.,Made in the USA with zero grains, wheat, corn, soy, artificial colors, flavors or preservatives and contains yucca schidigera to promote gentle digestion.",38.66,38,0,"Merrick Purrfect Bistro Grain-Free Chicken Casserole Morsels in Gravy Canned Cat Food, 5.5-oz, case of 24",4.0,89
Purina Muse,"{'Item Number': '93693', 'Packaging Type': 'Tray', 'Food Texture': 'Shredded', 'Brand': 'Purina', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, No Corn No Wheat No Soy'}","Features chicken or fish for the protein-rich recipe your best bud needs to fuel his muscles.,Savory, lickable broth is great for picky eaters and helps add healthy hydration to every meal.,Crafted with vitamins, minerals and taurine to support overall health, and omega fatty acids to promote healthy skin and a shiny coat.,Formulated to provide adult cats with a complete and balanced diet.,Made with zero grains, wheat, corn, soy, by-product meals, or artificial flavors, colors or preservatives.",12.78,2,14.9,"Purina Muse Natural Grain-Free Filets Wet Cat Food Trays, Ocean Fish Recipe in Broth with an Anchovy Topper, 2.1-oz tray, case of 10",5.0,100
Solid Gold,"{'Item Number': '133702', 'Weight': '6.0\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Gluten Free, Grain-Free, No Corn No Wheat No Soy, Pea-Free'}","Holistic, grain and gluten free formula with salmon as the top ingredient for a lean, tasty and highly-digestible protein source.,Coconut oil provides healthy fatty acids that support overall wellbeing and a healthy skin and coat.,Loaded with nutrient-rich veggies, taurine, vitamins and minerals for a balanced diet for all life stages, even kittens and senior cats.,Your kitty will love the pate texture and meaty flavor as a complete meal on its own or a tasty topper for dry food.,Free from fillers like corn, wheat, gluten, soy, artificial preservatives, carrageenan and meat by-product meals.",15.12,33,15.92,Solid Gold Tropical Blendz with Salmon & Coconut Oil Pate Grain-Free Canned Cat Food,4.1,82
Tiki Cat,"{'Item Number': '186299', 'Weight': '1.125\xa0pounds', 'Breed Size': 'Small Breeds, Medium Breeds, Large Breeds', 'Food Form': 'Food Topping, Treats', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free'}","A great way to add healthy hydration to your cat’s diet.,Comes in convenient, single-serve pouches.,100% free of sugar, starch, salt, grains, by-products, fillers, artificial flavors and colors.,Crafted with high-quality proteins.,Low in calories—can be served as a topper or alone as a tasty snack.",10.68,3,11.88,"Tiki Cat Broths Duck & Chicken in Broth with Meaty Bits Grain-Free Wet Cat Food Topper, 1.3-oz pouch, case of 12",5.0,100
Blue Buffalo,"{'Item Number': '167654', 'Weight': '4.0\xa0pounds', 'Brand': 'Blue Carnivora', 'Food Form': 'Dry Food', 'Lifestage': 'Kitten', 'Special Diet': 'High-Protein, Grain-Free, No Corn No Wheat No Soy, Pea-Free'}","Protein-packed dry food to satisfy your furry little one’s natural instincts.,95% of protein from 11 animal sources, including fresh, raw and dried chicken, turkey, saltwater fish and duck.,Contains nutrient-rich organs and cartilage, and perfected with vitamins and minerals to give your kitty a complete and balanced diet.,Includes DHA and ARA to support healthy brain and eye development.,Made with no grains, peas or potatoes and doesn’t rely on vegetables for protein.",26.99,18,0,"Blue Buffalo Carnivora Woodland Blend Kitten Grain-Free Dry Cat Food, 4-lb bag",4.4,83
Royal Canin,"{'Item Number': '52434', 'Weight': '3.0\xa0pounds', 'Brand': 'Royal Canin Size Health Nutrition', 'Food Form': 'Dry Food', 'Lifestage': 'Adult'}","Precisely formulated for picky eaters ages 1 to 7, who choose food based on their level of satisfaction after eating.,Specific protein, carbohydrate and fat balance is designed to satisfy the natural preferences of these cats.,Adapted energy content helps to maintain the weight of fussy eaters.,L.I.P. digestive science innovation uses protein selected for its high digestibility, which helps reduce stool odor.,Complete and balanced nutrition based on science and the specific needs of your cat.",16.19,36,0,"Royal Canin Protein Selective Dry Cat Food, 3-lb bag",4.6,94
Weruva,"{'Item Number': '49300', 'Packaging Type': 'Can', 'Food Texture': 'Chunks in Gravy', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, Non-GMO'}","Grain-free wet food is made with chicken and pumpkin as the top ingredients so it’s high in protein sourced from real meat.,Formulated to satisfy a carnivore’s cravings for animal protein, with savory gravy in every gourmet recipe.,Provides a balanced blend of amino acids, omegas, vitamins and minerals plus taurine for heart and vision health.,Broth-based gravy makes it appealing to picky eaters, and provides adequate hydration to support overall well-being.,100% grain-free, carrageenan-free, complete and balanced meal in every can, with zero BPA, GMOs or MSG; made in a human food facility.",42.29,107,49.99,Weruva Grandma's Chicken Soup with Chicken & Pumpkin Grain-Free Canned Cat Food,4.1,88
Merrick,"{'Item Number': '102320', 'Packaging Type': 'Pouch', 'Food Texture': 'Chunks in Gravy', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'No Corn No Wheat No Soy, Gluten Free, Grain-Free, High-Protein, Pea-Free'}","Grain-free recipe starts with real duck as the number one ingredient to support healthy muscles and activity.,Features a mix of proteins from duck and turkey to provide a balanced diet like the one your kitty would find in the wild.,Formulated with delectable gravy for the taste even picky cats will love, and is made with real broth to provide essential daily hydration.,Packed with omegas for healthy skin and fur, plus taurine, vitamins and minerals for overall well-being.,Safely cooked in the USA in small batches with zero by-products, grains, wheat, gluten, corn, artificial colors, flavors or preservatives.",32.18,18,35.76,"Merrick Backcountry Grain-Free Morsels in Gravy Real Duck Recipe Cuts Cat Food Pouches, 3-oz, case of 24",4.2,78
